province,region4,regionmrs,regioneconomy,grp,grp1,grp2,grp3,pop,popurban,poprural,birthrate,deathrate,natgrowth,lifeexp,lifeexpm,lifeexpf,empurban,empagri,empmining,empmanufact,emplelectric,empconstruct,emptransport,empinform,emptrades,emptourism,empfinance,emprealestate,empbusinservices,empscience,empwater,emphhservices,empeducation,emphealth,empsports,empsocial,wagesurban,wagesagri,wagesmining,wagesmanufact,wageslelectric,wagesconstruct,wagestransport,wagesinform,wagestrades,wagestourism,wagesfinance,wagesrealestate,wagesbusinservices,wagesscience,wageswater,wageshhservices,wageseducation,wageshealth,wagessports,wagessocial,tradeblop,exportsop,imprtsop,tradebldest,exportsdest,imprtsdest,healtcareinst,hospitals,museums,libraryusage,lotterysales,trafficacccidents,trafficdeaths,trafficinjuries
Beijing,Eastern,Beijing-Tianjin-Hebei,Tier 2 (Upper-middle),47353.7,115.1,6893.8,40344.8,2186,1920,266,5.63,6.13,-0.5,82.49,80.43,84.62,755.6,1.5,2.4,55.7,9.4,41.3,47.6,100,53.7,32.1,58.9,44.3,77.2,64,11.6,6.4,50.8,36.8,19.4,42.5,16629.85,11.53,47.88,1064.91,205.92,676.42,761.88,3363.06,1084.65,221.45,2105,564.19,1393.36,1535.4,150.85,55.27,1177.95,912.06,460.28,837.79,518480000,85260000,433220000,137230000,29300000,107930000,11487,682,69,1.68,51.6,6472,1001,5419
Tianjin,Eastern,Beijing-Tianjin-Hebei,Tier 4 (Lowest),17211.8,270.5,6080.6,10860.8,1364,1166,198,4.47,7.04,-2.57,81.3,79.32,83.4,219,0.1,5,53.5,3.9,15.9,14.2,4.7,13.5,5,12.1,7.2,11.9,10.5,2.2,4.8,21.2,12.3,1.4,19.7,3047.11,1.36,99.81,649.88,78.22,204.11,184.96,92.05,172.9,22.02,243.51,73.22,119.05,228.4,23.58,26.3,313.72,215.3,18.45,280.28,113890000,51680000,62210000,149510000,53690000,95820000,6799,458,53,1.79,17.3,6254,927,5907
Hebei,Eastern,Beijing-Tianjin-Hebei,Tier 2 (Upper-middle),45660,4463,17112.2,24084.8,7393,4641,2752,5.54,8.33,-2.79,77.75,75.2,80.52,554.7,1.5,16,93,18.3,29.9,27.6,13.1,21.8,4.6,29.7,10.8,16.3,14.7,10.6,2.8,84.4,48.8,5.2,105.7,5308.73,10.3,175.41,829.62,258.22,262.48,300.61,179.52,162.18,24.06,382.3,80.23,127,174.69,52.12,17.03,838.99,500.08,43.79,890.09,82790000,49790000,33000000,148200000,78630000,69570000,92825,2487,147,0.66,60,3871,2181,2757
Shanxi,Intermediate,Not classified,Tier 3 (Lower-middle),26050.8,1365.2,11940.1,12745.5,3466,2252,1214,6.13,8.38,-2.25,77.91,75.64,80.47,434.8,1.5,86,52.1,15.7,22.6,23,4.9,15.3,4.6,21,7.4,13.5,8,7.9,1.2,53.8,27.8,4.2,64.3,4146.29,9.43,1069.18,434.63,180.07,193.7,256.09,57.26,134.17,20.93,235.83,44.42,93.16,79.75,35.48,6.4,496.42,260.99,30.93,507.47,24000000,14900000,9100000,26440000,18790000,7640000,37849,1383,155,0.77,32.5,7778,2226,7430
Inner Mongolia,Western,Not classified,Tier 3 (Lower-middle),25020.5,2644.2,11130.4,11245.8,2396,1667,729,5,8.42,-3.42,77.56,74.98,80.45,268.7,4.4,11.9,38.7,14.1,7.1,19.8,4.4,8.3,2.7,15.4,6.8,7.1,5.6,6.5,0.5,36.6,20.5,3,55.3,2932.75,36.34,233.59,431.69,195.53,62.54,228.47,59.08,79.51,13.63,202.93,38.42,53.91,63.35,35.91,2.71,400.92,224.6,29.03,540.58,27840000,11080000,16750000,34910000,12230000,22670000,25685,851,128,1.06,38.8,3692,784,3846
Liaoning,Northeast,Not classified,Tier 3 (Lower-middle),31389.8,2642.2,11104.8,17642.9,4182,3074,1108,4.06,9.69,-5.63,78.68,75.96,81.54,424.5,6.1,15.3,83.8,13.6,21,28.3,14.5,15.8,7.2,22.8,9.7,14.2,8.9,8,1.5,52.2,35,3.9,62.7,4171.04,16.19,173.49,807.06,142.52,174.43,299.23,216.23,135.35,24.75,286.97,73.74,98.46,119.76,42.06,8.69,552.83,372.57,34.73,591.99,109060000,50270000,58790000,147900000,63000000,84900000,34137,1536,66,1.14,69.3,4778,1805,4149
Jilin,Northeast,Not classified,Tier 4 (Lowest),13942.7,1644.9,4426.9,7871,2339,1514,825,3.76,9.17,-5.41,78.41,75.62,81.4,233.9,5.3,5,40.9,8.8,11.7,13.8,4.6,7.7,1.8,15.1,4.3,4.5,5.9,6,1.1,34.6,21.2,3,38.8,2239.72,33.52,53.26,421.38,104.69,94.64,139.13,50.89,63.69,7.92,178.63,27.83,31.34,70.78,27.94,4.88,347.28,229.94,23.85,328.13,23800000,8890000,14910000,24080000,9260000,14810000,26161,870,94,1.12,29.3,6745,1482,7257
Heilongjiang,Northeast,Not classified,Tier 4 (Lowest),16470.7,3542.1,4205.4,8723.3,3062,2055,1007,2.92,9.84,-6.92,78.25,75.33,81.42,274.6,15.3,21.7,22.8,12.6,9.2,21.7,5.7,9.5,1.6,14.4,4.1,8.5,5.1,6.6,1.3,37.7,25.1,2.5,49,2659.47,84.86,267.55,214.41,133.2,74.05,231.47,59.76,84.32,7.47,157.12,23.03,83.94,58.33,32.53,5.59,402.29,273.21,19.53,446.79,42380000,10790000,31590000,36850000,9680000,27170000,21417,1249,132,0.86,30.7,3438,819,3684
Shanghai,Eastern,Yangtze River Delta,Tier 2 (Upper-middle),51404.5,100.7,11542.9,39760.9,2487,2225,262,3.95,6.37,-2.42,82.55,80.39,84.87,647.6,0.6,0.2,116.6,3.4,22.8,43.4,52.8,89.7,26.7,36.5,30.8,78,38,9.9,6.3,38.8,28.5,5.6,18.8,14983.67,6.47,6.4,2093.84,91.96,369.55,779.3,1962.31,2194.63,181.76,1603.41,423.08,1782.34,1084.05,108.37,65.56,904.07,717.72,115.24,493.62,599220000,247040000,352190000,574150000,197920000,376230000,6514,467,85,3.34,56.5,1169,811,560
Jiangsu,Eastern,Yangtze River Delta,Tier 1 (Highest),130924.3,5075.9,57329.8,68518.6,8526,6398,2128,4.81,7.55,-2.74,79.32,77.02,81.83,1311.4,2.1,5.9,439.5,15.1,224.4,47.8,37.3,53.7,22.6,41.3,31.9,56.9,29.7,13.3,6,116.3,68,9,90.5,16203.81,14.41,89.2,5001.87,260.18,1744.44,592.96,741.12,653.16,136.66,888.24,314.37,529.8,516.81,122.86,54.83,1806.44,1122.69,116.46,1497.32,746150000,479390000,266760000,827670000,504270000,323400000,39536,2173,330,1.41,133.1,9349,3645,7113
